researcher,num_papers,total_citations,h_index
Ehsan Samiei,39,1583,20
Peivand Sadat Mousavi,5,320,4
Margot Karlikow,14,520,6
Amin M. Ektesabi,32,190,6
Paul J. Turgeon,22,624,9
Chuan Liu,63,1614,20
Anastasia Korolj,19,2787,14
Chuan Liu,63,1614,20
Sergi Clotet‐Freixas,33,444,11
Wuyang Gao,9,37,3
Joshua G. Dierolf,13,86,5
Mable Wing Yan Chan,1,32,1
Ka Kit Cheung,8,86,2
Amy Bantle,2,30,2
Laxman Pandey,2,44,2
Dingran Chang,75,2690,27
Alexandros A. Sklavounos,24,507,11
Farhana Abbas,4,273,3
Jenise B. Chen,16,729,9
Yufeng Wang,130,2538,26
Joseph A. Sebastian,38,373,10
Nancy T. Li,32,201,9
Ayden Malekjahani,9,1972,5
Ayesha Aijaz,43,434,11
Durgesh Kavishvar,4,25,1
Liangcheng Xu,9,175,6
Margarita Elloso,11,42,4
Jack Bufton,7,118,3
Richard Cheng,16,523,7
Siwan Park,10,118,5
Evan Amalfitano,3,171,3
Severino Jefferson Ribeiro da Silva,37,1186,17
Mahmoud Abdelkarim,14,193,5
Sarah McColman,4,34,3
Karen Shen,5,57,3
Tim V. Salomons,98,6438,32
Sushant Singh,4,9,2
